id,from,type,text,date,year,month,day,hour,message_length,count_emoji,emoji
4,ОТЦЫ РЯДОМ online,message,"Дорогие граждане Российской Федерации, уважаемые коллеги, любимые близкие и родные! 

Поздравляем вас с Новым 2024 годом!     

2023 год выдался непростым, он оказался полным тяжелой и кропотливой работы, увенчанной в большей степени успехом. 

Шаг за шагом каждый из нас наполнял этот год радостью и крепостью духа, учился, старался, работал, пробовал свои силы и побеждал.     

Год, наполненный испытаниями, новыми сплоченными командами и ознаменовавшийся рождением нашей общественной организации «ОТЦЫ РЯДОМ» в федеральном масштабе!    

Пусть новый год принесёт счастье и радость в каждый дом, в каждый очаг, в каждую СЕМЬЮ! 

Пусть дети и родители всегда будут вместе и неразлучны!    

Да пребудут с нами качественные результаты и эффективные проекты, пусть  каждому из нас хватит сил на укрепление здоровья и любви, пусть задуманное сбудется.     

Пусть счастьем и добротой будет наполнен каждый дом. 

Пусть вдохновение и любовь сделают жизнь светлее и ярче.     

Пусть 2024 год будет светлым, приносящим много положительных эмоций, здоровья, достатка и улыбок на лицах родных и близких людей.     

Пусть источник добра и тепла в наших душах согревает нас и наше окружение.     

Правовая поддержка, образовательные проекты, коллаборации в сфере культуры, спортивные программы и соревнования, благотворительные инициативы и медийные проекты и много-много других видов деятельности ждут нас в новом году!    

С Новым 2024 годом!  

#2024  ",2024-01-01 00:21:11,2024,1,Monday,0,1451,0,[]
6,ОТЦЫ РЯДОМ online,message,#2024                ,2024-01-01 23:27:23,2024,1,Monday,23,21,0,[]
7,ОТЦЫ РЯДОМ online,message,"Просвещение & Спорт 
Конференция «Организационные и технические аспекты популяризации спорта, физической культуры и здорового образа жизни среди населения»

Москва, 25 ноября 2023 года 

В рамках популяризации программ физической культуры, спорта и подвижных игр среди населения в целях укрепления здоровья наших граждан состоялась конференция Межрегиональной общественной организации содействия сохранению духовного, культурного и исторического наследия, популяризации спорта, формированию и развитию личности и общества, патриотическому воспитанию «Отцы рядом» (далее – МОО «Отцы рядом») и Фонда развития физической культуры и спорта Александра Липового (далее – Благотворительный Фонд Александра Липового) с подписчиками, спортсменами, тренерами, общественными и политическими деятелями и предпринимателями в областях фитнес-индустрии, организации мероприятий, производства экипировки, спортивного питания и других спортивных брендов. 

Спикерами мероприятия выступили: 
- Иван Курбаков – кандидат в мастера спорта по жиму лёжа и армлифтингу, победитель Кубка Москвы, Председатель МОО «Отцы рядом»; 
- Александр Липовой – многократный чемпион мира по боксу и кикбоксингу, чемпион кубка мира по кикбоксингу, основатель Благотворительного Фонда Александра Липового, эксперт и амбассадор МОО «Отцы рядом»; 
- Евгений Фролов - полуфиналист чемпионата Московской области по бодибилдингу в категории классический бодибилдинг, вице-чемпион Москвы соревнований Fitness Challenge 2023, бронзовый призёр по жиму штанги лежа без экипировки в категории до 100 кг EUROPEAN CHAMPIONSHIP Kravtcov (Moscow), Директор Департамента спортивных проектов и программ популяризации здорового образа жизни МОО «Отцы рядом»; 
- Кирилл Чакрян - многократный призёр, победитель чемпионатов и первенств города Москвы по тяжелой атлетике, двукратный чемпион турниров среди стран СНГ по тяжелой атлетике, двукратный чемпион Всероссийских турниров по тяжелой атлетике, чемпион Москвы по бодибилдингу, чемпион Московской области по бодибилдингу, заместитель Директора Департамента спортивных проектов и программ популяризации здорового образа жизни ¬– руководитель Управления силовых видов спорта Департамента спортивных проектов и программ популяризации здорового образа жизни МОО «Отцы рядом»; 
- Керам Козбаев - кандидат в мастера спорта по тайскому боксу, действующий боец по кулачным единоборствам в составе Федерации бокса, экс-чемпион международной организации Панч Клаб, заместитель Директора Департамента спортивных проектов и программ популяризации здорового образа жизни ¬– руководитель Управления спортивных и боевых единоборств МОО «Отцы рядом»; 
- Эльджан Касымов - мастер спорта международного класса по самбо, кандидат в мастера спорта по дзюдо, 2-х кратный чемпион мира по самбо (2019 г., 2020 г.), чемпион кубка мира по боевому самбо, серебряный призёр чемпионата мира по боевому самбо (2020 г.), руководитель спортивного клуба ELKAS-BS, заместитель руководителя Управления спортивных и боевых единоборств Департамента спортивных проектов и программ популяризации здорового образа жизни МОО «Отцы рядом»; 
- Александра Харламова – Вице-президент Благотворительного Фонда Александра Липового, ведущая, педагог.",2024-01-02 20:44:55,2024,1,Tuesday,20,3198,0,[]
8,ОТЦЫ РЯДОМ online,message,"В ходе конференции затронуты мотивационно-воспитательные составляющие личных историй спортсменов и тренеров, предоставлены рекомендации по поддержанию здорового образа жизни, продемонстрированы задачи стратегического сотрудничества: 
- увеличить качество и длительность времяпрепровождение отцов с детьми, многодетных семей в рамках совместных спортивных мероприятий, социальных оздоровительных мастер-классов, лекционно-практических специальных занятий с детьми, требующими повышенного внимания со стороны общества (оставшиеся без родителя, родителей, «социальные дети», дети с ограниченными возможностями здоровья), 
- расширить взаимодействие со СМИ в рамках пропаганды здорового образа жизни среди родителей и детей, 
- реализовать совместные проекты со СМИ, 
- организовать и подключить к общественной деятельности многофункциональные площадки для тренировок по интересующим видам спорта, 
- занять детей и родителей увлекательной полезной совместной деятельностью во время досуга и отдыха, 
- обеспечить физическое развитие детей методом систематических тренировок и мотивирующими мероприятиями. 
Выступающие озвучили информацию о проводимых систематических тренировках для взрослых и детей, о планах по расширению сети тренировочных баз, о поддержке со стороны государственных органов и бизнес-сообществ. 
Подведены итоги года в рамках реализуемых проектов и программ развития организаций. Немаловажным стал акцент на роли родителей и наставника в жизни ребенка, ведь главная задача родителей - вырастить здорового, физически и психически развитого ребенка. Напомнили, что для гармоничного развития ребёнок должен развиваться всесторонне: интеллектуально, творчески, духовно и физически. Ведь недаром через физическое развитие и спорт ребёнок учится строить отношения сотрудничества и конкуренции. 
Сделаны рекомендации для родителей (лиц, их замещающих) при выборе спортивных секций, а именно: месторасположение зала (долгие дороги выматывают и детей и родителей), количество детей в группе (тренеру бывает сложно удержать внимание довольно большого количества детей) и личность тренера (как он разговаривает с детьми, вступает ли в личный контакт, внимателен ли к состоянию ребенка, вызывает ли доверие). 

Евгений Фролов: «По моим наблюдениям , дети с девяти лет хотят учиться и осваивать новое. Интересы скачут: сегодня он хочет в секцию бокса, завтра – кататься на лыжах, через неделю в астрономический кружок. И это абсолютно нормально. Я считаю, не стоит бросать занятия, если ребенок не отходил хотя бы десять подряд. 
Если говорить про возрастные периоды, то именно в период 7-12 лет ребенок нуждается в наставнике. Отношения с наставником похожи на отношения с родителем, тоже подразумевается защита и забота со стороны старшего. Особенно остро нуждаются в наставнике дети, воспитывающиеся в неполной семье. 
Так как любовь родителя безусловна и безоценочна, ребенку нужен тот, кто будет оценивать. Тот, кто будет ставить барьеры и требовать их преодоления, в том числе через не могу и не хочу. Тот, кто может иногда сказать: «Нет, это плохо, ты не старался, ты можешь лучше», – и это не разрушит отношения, потому что тренеру можно. 
Конечно, тренер не только оценивает. Он помогает, подбадривает, объясняет, поддерживает в первых попытках. 
Вот несколько советов родителям: 
- быть мудрым, терпеливым, гибким, видеть мир глазами ребёнка; 
- с детства выстраивайте с ребёнком доверительные отношения; 
- будьте вместе против его проблем и учитесь слышать своего ребенка!»",2024-01-02 20:44:55,2024,1,Tuesday,20,3489,0,[]
9,ОТЦЫ РЯДОМ online,message,"Немаловажный аспект развития спортсмена и приверженца здорового образа жизни был упомянут в контексте сохранения мотивации как движущей силы после физического и морального временного износа. 
Керам Козбаев: «Чтобы справиться с демотивацией и снижением желания достигать высот в спорте, спортсменам необходимо незамедлительно принимать меры. Во-первых, важно осознать свою ситуацию и найти причину своей демотивации. Это может потребовать консультации с тренером, спортивным психологом или другими специалистами, которые могут помочь спортсмену разобраться в сложившейся ситуации и найти пути к восстановлению мотивации. Ведь движущая сила – это то, что позволяет встать после определенного падения или упадка сил. Кстати, такой силой у детей являются родители, если у них выстроены доброжелательные отношения и достигнут высокий уровень эмпатии. 
Важно также помнить о своих целях и мечтах, которые двигали вас как спортсмена в начале своей карьеры. Может, кто-то из вас брал пример с папы, мамы, дедушки, бабушки, которые в свое время завоевали немало наград? В моём окружении таких примеров масса. Регулярное напоминание о них и постановка новых целей может помочь поддерживать мотивацию и интерес к спорту. Также я рекомендую разнообразить тренировки и внести изменения в сборы, чтобы избежать рутины и снять дополнительное психологическое напряжение. 
Наконец, важно создать поддерживающую среду вокруг себя. Поддержка семьи, тренеров, спортивного психолога команды может сыграть определяющую роль в поддержании мотивации и преодолении демотивации на сборах». 

В рамках деятельности команды Департамента спортивных проектов и программ популяризации здорового образа жизни МОО «Отцы рядом» в стратегическом партнёрстве с Благотворительным фондом развития физического культуры и спорта Александра Липового реализуются социально значимые федеральные и муниципальные мероприятия содействия повышению интереса детей и молодежи к физической культуре, спорту, здоровому образу жизни, профилактика и охрана здоровья граждан, через занятия физической культурой и спортом, возрождению и поддержке спортивных традиций через развитие культурно-воспитательного потенциала спорта и пропаганду общечеловеческих ценностей и здорового образа жизни, осуществлению программ и научных исследований в области охраны здоровья населения, проведению спортивных мероприятий, турниров, соревнований, муниципальных, городских, государственных (федеральных), международных мероприятий и фестивалей. 

Ссылка на пресс-релиз: 
 

Эпизоды видеотрансляции доступны к просмотру на нашей странице Вконтакте 🔽


          ",2024-01-02 20:44:55,2024,1,Tuesday,20,2592,1,['🔽']
10,ОТЦЫ РЯДОМ online,message,           ,2024-01-02 20:46:34,2024,1,Tuesday,20,11,0,[]
11,ОТЦЫ РЯДОМ online,message,,2024-01-02 20:46:34,2024,1,Tuesday,20,0,0,[]
12,ОТЦЫ РЯДОМ online,message,,2024-01-02 20:46:34,2024,1,Tuesday,20,0,0,[]
13,ОТЦЫ РЯДОМ online,message,,2024-01-02 20:46:34,2024,1,Tuesday,20,0,0,[]
14,ОТЦЫ РЯДОМ online,message,,2024-01-02 20:46:34,2024,1,Tuesday,20,0,0,[]
